VV,VH,date,orbit,x,y
-6.361538092084923,-17.158349751088956,2022-08-21,DESCENDING,-44.35759600418841,-13.33903873812657
-10.794921312857655,-14.005441324183558,2022-08-28,DESCENDING,-44.35759600418841,-13.33903873812657
-12.621000666261533,-13.341810970168195,2022-09-02,DESCENDING,-44.35759600418841,-13.33903873812657
-9.07749753064534,-13.32018470695754,2022-09-09,DESCENDING,-44.35759600418841,-13.33903873812657
-8.77565439384342,-13.9552692254252,2022-09-14,DESCENDING,-44.35759600418841,-13.33903873812657
-7.5791127249080725,-19.2566847245078,2022-09-21,DESCENDING,-44.35759600418841,-13.33903873812657
-7.6788944648332755,-14.38295071407888,2022-09-26,DESCENDING,-44.35759600418841,-13.33903873812657
-11.183431369442866,-14.569427744415414,2022-10-03,DESCENDING,-44.35759600418841,-13.33903873812657
-8.88805523921842,-15.437722458393761,2022-10-08,DESCENDING,-44.35759600418841,-13.33903873812657
-8.342158104161793,-13.578064942165655,2022-10-20,DESCENDING,-44.35759600418841,-13.33903873812657
-10.769166634260895,-13.896924068466843,2022-10-27,DESCENDING,-44.35759600418841,-13.33903873812657
-10.624024264453304,-16.87167714340584,2022-11-01,DESCENDING,-44.35759600418841,-13.33903873812657
-8.00109819056851,-15.616494080877048,2022-11-08,DESCENDING,-44.35759600418841,-13.33903873812657
-6.948454318192984,-15.351208825018697,2022-11-13,DESCENDING,-44.35759600418841,-13.33903873812657
-11.813562423232163,-14.222976382516157,2022-11-20,DESCENDING,-44.35759600418841,-13.33903873812657
-5.276061624045818,-10.912599900428134,2022-11-25,DESCENDING,-44.35759600418841,-13.33903873812657
-8.151406893398665,-16.71075045941724,2022-12-02,DESCENDING,-44.35759600418841,-13.33903873812657
-10.965652290846318,-17.03480281603037,2022-12-07,DESCENDING,-44.35759600418841,-13.33903873812657
-10.73860304204247,-14.614088687590701,2022-12-14,DESCENDING,-44.35759600418841,-13.33903873812657
-11.123730428971383,-14.219477522306882,2022-12-19,DESCENDING,-44.35759600418841,-13.33903873812657
-9.534565238788614,-12.509011860634939,2022-12-26,DESCENDING,-44.35759600418841,-13.33903873812657
-8.975625720714103,-14.9050576890828,2022-12-31,DESCENDING,-44.35759600418841,-13.33903873812657
-9.969065650194928,-14.888135962200707,2023-01-07,DESCENDING,-44.35759600418841,-13.33903873812657
-10.366991079253454,-13.555902694149953,2023-01-12,DESCENDING,-44.35759600418841,-13.33903873812657
-9.644472459757289,-17.56986218237974,2023-01-19,DESCENDING,-44.35759600418841,-13.33903873812657
-8.850161005043178,-14.805689620743836,2023-01-24,DESCENDING,-44.35759600418841,-13.33903873812657
-6.909737905345649,-14.012824301101405,2023-02-05,DESCENDING,-44.35759600418841,-13.33903873812657
-9.350924594281981,-14.001416499248103,2023-02-12,DESCENDING,-44.35759600418841,-13.33903873812657
-10.689151948782918,-13.033618335135857,2023-02-17,DESCENDING,-44.35759600418841,-13.33903873812657
-6.842293740637476,-14.645629901294633,2023-02-24,DESCENDING,-44.35759600418841,-13.33903873812657
-6.231566414574906,-14.90033303599035,2023-03-01,DESCENDING,-44.35759600418841,-13.33903873812657
-7.657102989245214,-17.637910600853097,2023-03-08,DESCENDING,-44.35759600418841,-13.33903873812657
-7.609453840175916,-13.081465328218503,2023-03-13,DESCENDING,-44.35759600418841,-13.33903873812657
-9.800302676140817,-13.243068819843218,2023-03-20,DESCENDING,-44.35759600418841,-13.33903873812657
-6.640179127358934,-16.237295512674734,2023-03-25,DESCENDING,-44.35759600418841,-13.33903873812657
-7.795286632807982,-13.725355686785171,2023-04-01,DESCENDING,-44.35759600418841,-13.33903873812657
